Source_pop,Treatment,Treat_rep,Ind_rep,clutch_1_date,AMPM_1,clutch_2_date,AMPM_2,clutch_3_date,AMPM_3,clutch_4_date,AMPM_4,clutch_5_date,AMPM_5
Low,HC,1,1,9/30/18,AM,,,,,,,,
Low,HC,1,2,9/27/18,AM,10/1/18,AM,10/5/18,AM,,,,
Low,HC,1,3,,,,,,,,,,
Low,HC,1,4,9/30/18,AM,,,,,,,,
Low,HC,1,5,9/29/18,AM,10/3/18,PM,10/8/18,PM,,,,
Low,HC,1,6,9/27/18,AM,10/1/18,AM,10/5/18,PM,10/9/18,PM,10/14/18,PM
Low,HC,1,7,9/27/18,PM,10/1/18,PM,10/7/18,AM,10/10/18,AM,,
Low,HC,1,8,,,,,,,,,,
Low,HC,1,9,9/27/18,AM,10/1/18,AM,,,,,,
Low,HC,1,10,9/27/18,PM,10/1/18,PM,,,,,,
Low,HC,1,11,,,,,,,,,,
Low,HC,1,12,9/27/18,PM,10/3/18,AM,10/8/18,PM,,,,
Low,HC,1,13,,,,,,,,,,
Low,HC,3,1,10/1/18,PM,10/6/18,PM,10/12/18,AM,,,,
Low,HC,3,2,,,,,,,,,,
Low,HC,3,3,,,,,,,,,,
Low,HC,3,4,9/30/18,AM,10/5/18,PM,10/10/18,PM,,,,
Low,HC,3,5,,,,,,,,,,
Low,HC,3,6,10/1/18,AM,10/7/18,AM,,,,,,
Low,HC,3,7,9/29/18,PM,10/3/18,AM,10/6/18,PM,10/13/18,AM,,
Low,HC,3,8,,,,,,,,,,
Low,HC,3,9,9/30/18,PM,10/5/18,AM,,,,,,
Low,HC,3,10,10/2/18,AM,,,,,,,,
Low,HC,3,11,10/2/18,AM,10/6/18,PM,10/12/18,AM,,,,
Low,HC,3,12,10/1/18,AM,,,,,,,,
Low,HC,3,13,,,,,,,,,,
Low,HC,3,14,,,,,,,,,,
Low,HC,3,15,10/1/18,AM,,,,,,,,
Low,HC,3,16,9/27/18,PM,10/1/18,AM,,,,,,
Low,HC,3,17,9/27/18,AM,10/1/18,AM,10/5/18,AM,10/10/18,PM,,
Low,HC,3,18,9/29/18,PM,10/3/18,PM,10/7/18,AM,,,,
Low,HC,3,19,9/27/18,AM,9/30/18,PM,10/4/18,PM,10/10/18,AM,,
Low,HC,3,20,10/1/18,AM,10/6/18,AM,10/9/18,PM,,,,
Low,HC,3,21,9/27/18,AM,9/30/18,PM,10/6/18,PM,,,,
Low,HC,3,22,,,,,,,,,,
Low,HC,3,23,9/28/18,AM,10/4/18,AM,10/9/18,AM,,,,
Low,HC,3,24,9/27/18,AM,10/1/18,AM,10/5/18,PM,10/9/18,PM,10/14/18,PM
Low,HC,5,1,9/27/18,PM,10/1/18,PM,10/5/18,AM,10/9/18,PM,10/13/18,AM
Low,HC,5,2,9/30/18,AM,10/4/18,AM,10/7/18,PM,10/12/18,AM,,
Low,HC,5,3,10/3/18,AM,10/7/18,AM,10/13/18,AM,,,,
Low,HC,5,4,9/27/18,AM,9/30/18,PM,10/4/18,PM,10/8/18,PM,10/13/18,AM
Low,HC,5,5,9/29/18,AM,10/3/18,AM,,,,,,
Low,HC,5,6,,,,,,,,,,
Low,HC,5,7,,,,,,,,,,
Low,HC,5,8,9/29/18,AM,10/3/18,AM,10/7/18,AM,10/11/18,AM,,
Low,HC,5,9,9/30/18,AM,10/3/18,PM,10/8/18,AM,10/13/18,AM,,
Low,HC,5,10,9/30/18,AM,10/3/18,PM,10/7/18,AM,10/10/18,PM,10/14/18,PM
Low,HC,5,11,,,,,,,,,,
Low,HC,5,12,9/29/18,AM,,,,,,,,
Low,HC,5,13,9/28/18,AM,10/2/18,AM,10/5/18,PM,10/9/18,PM,10/13/18,AM
Low,HC,5,14,9/29/18,PM,10/3/18,AM,10/7/18,AM,10/11/18,AM,,
Low,HC,5,15,,,,,,,,,,
Low,HC,5,16,,,,,,,,,,
Low,HC,5,17,9/30/18,AM,10/5/18,PM,10/10/18,AM,,,,
Low,HC,5,18,9/30/18,AM,10/4/18,AM,10/9/18,PM,,,,
Low,HC,5,19,9/27/18,PM,10/2/18,AM,10/6/18,AM,10/10/18,AM,10/14/18,AM
Low,HC,5,20,9/29/18,PM,10/3/18,PM,10/9/18,PM,,,,
Low,HC,5,21,9/27/18,AM,10/1/18,AM,10/4/18,PM,10/8/18,AM,10/12/18,AM
Low,HC,5,22,9/27/18,PM,10/2/18,AM,10/6/18,AM,10/10/18,AM,,
Low,HC,5,23,9/30/18,AM,10/3/18,PM,10/7/18,PM,10/13/18,PM,,
Low,HC,5,24,,,,,,,,,,
High,HC,1,1,,,,,,,,,,
High,HC,1,2,,,,,,,,,,
High,HC,1,3,,,,,,,,,,
High,HC,1,4,,,,,,,,,,
High,HC,1,5,,,,,,,,,,
High,HC,1,6,10/2/18,PM,10/7/18,AM,10/10/18,PM,,,,
