Source_pop,Treatment,Treat_rep,Ind_rep,Gravid_1_date,Gravid_2_date,Gravid_3_date,Gravid_4_date,Gravid_5_date
Low,HC,1,1,,,,,
Low,HC,1,2,,,,,
Low,HC,1,3,,,,,
Low,HC,1,4,,,,,
Low,HC,1,5,,,,,
Low,HC,1,6,,,,,
Low,HC,1,7,11/14/18,,,,
Low,HC,1,8,,,,,
Low,HC,1,9,,,,,
Low,HC,1,10,,,,,
Low,HC,1,11,,,,,
Low,HC,1,12,,,,,
Low,HC,1,13,,,,,
Low,HC,3,1,11/19/18,,,,
Low,HC,3,2,,,,,
Low,HC,3,3,,,,,
Low,HC,3,4,10/27/18,10/29/18,10/31/18,11/4/18,11/4/18
Low,HC,3,5,,,,,
Low,HC,3,6,,,,,
Low,HC,3,7,,,,,
Low,HC,3,8,,,,,
Low,HC,3,9,10/27/18,,,,
Low,HC,3,10,,,,,
Low,HC,3,11,,,,,
Low,HC,3,12,,,,,
Low,HC,3,13,,,,,
Low,HC,3,14,,,,,
Low,HC,3,15,,,,,
Low,HC,3,16,11/8/18,,,,
Low,HC,3,17,,,,,
Low,HC,3,18,11/11/18,,,,
Low,HC,3,19,10/28/18,,,,
Low,HC,3,20,11/5/18,11/10/18,,,
Low,HC,3,21,,,,,
Low,HC,3,22,,,,,
Low,HC,3,23,10/31/18,,,,
Low,HC,3,24,,,,,
Low,HC,5,1,11/14/18,11/25/18,,,
Low,HC,5,2,11/25/18,,,,
Low,HC,5,3,,,,,
Low,HC,5,4,,,,,
Low,HC,5,5,10/26/18,,,,
Low,HC,5,6,,,,,
Low,HC,5,7,,,,,
Low,HC,5,8,,,,,
Low,HC,5,9,,,,,
Low,HC,5,10,,,,,
Low,HC,5,11,,,,,
Low,HC,5,12,10/31/18,11/7/18,,,
Low,HC,5,13,11/7/18,11/13/18,11/19/18,,
Low,HC,5,14,10/30/18,11/10/18,,,
Low,HC,5,15,,,,,
Low,HC,5,16,,,,,
Low,HC,5,17,,,,,
Low,HC,5,18,10/28/18,10/31/18,10/31/18,,
Low,HC,5,19,11/7/18,11/7/18,11/14/18,11/16/18,
Low,HC,5,20,,,,,
Low,HC,5,21,,,,,
Low,HC,5,22,,,,,
Low,HC,5,23,11/14/18,11/16/18,,,
Low,HC,5,24,,,,,
High,HC,1,1,,,,,
High,HC,1,2,,,,,
High,HC,1,3,,,,,
High,HC,1,4,,,,,
High,HC,1,5,,,,,
High,HC,1,6,,,,,
High,HC,1,7,,,,,
High,HC,1,8,,,,,
High,HC,1,9,,,,,
High,HC,1,10,,,,,
High,HC,1,11,,,,,
High,HC,1,12,10/30/18,,,,
High,HC,1,13,,,,,
High,HC,1,14,11/6/18,11/8/18,,,
High,HC,1,15,11/8/18,,,,
High,HC,1,16,,,,,
High,HC,1,17,,,,,
High,HC,1,18,,,,,
High,HC,1,19,11/9/18,,,,
High,HC,1,20,11/1/18,,,,
High,HC,1,21,,,,,
High,HC,1,22,,,,,
High,HC,1,23,10/26/18,,,,
High,HC,1,24,,,,,
High,HC,2,1,11/10/18,11/10/18,11/19/18,,
